#t = 395644.400000 [s], N conservation: 9.470e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 1.426837e+56 1.188631e+48 6.308005e+48 2.531409e-06 3.950518e+05 1.048785e+10 
1.010175e+00 1.027868e-02 1.637788e+54 1.392271e+46 6.212938e+48 2.557167e-06 3.950518e+05 1.038221e+10 
1.020454e+00 1.038326e-02 1.613093e+54 1.399326e+46 6.119304e+48 2.583188e-06 3.950518e+05 1.027763e+10 
1.030837e+00 1.048892e-02 1.588771e+54 1.406417e+46 6.027080e+48 2.609473e-06 3.950518e+05 1.017411e+10 
1.041326e+00 1.059564e-02 1.564815e+54 1.413543e+46 5.936247e+48 2.636026e-06 3.950518e+05 1.007163e+10 
1.051922e+00 1.070345e-02 1.541220e+54 1.420706e+46 5.846783e+48 2.662849e-06 3.950518e+05 9.970179e+09 
1.062625e+00 1.081236e-02 1.517982e+54 1.427905e+46 5.758667e+48 2.689945e-06 3.950518e+05 9.869753e+09 
1.073437e+00 1.092238e-02 1.495093e+54 1.435141e+46 5.671879e+48 2.717317e-06 3.950518e+05 9.770338e+09 
1.084360e+00 1.103352e-02 1.472550e+54 1.442413e+46 5.586398e+48 2.744967e-06 3.950518e+05 9.671925e+09 
1.095393e+00 1.114578e-02 1.450346e+54 1.449722e+46 5.502207e+48 2.772899e-06 3.950518e+05 9.574503e+09 
1.106539e+00 1.125919e-02 1.428477e+54 1.457067e+46 5.419284e+48 2.801114e-06 3.950518e+05 9.478062e+09 
1.117798e+00 1.137376e-02 1.406938e+54 1.464450e+46 5.337610e+48 2.829617e-06 3.950518e+05 9.382593e+09 
1.129172e+00 1.148949e-02 1.385724e+54 1.471871e+46 5.257168e+48 2.858410e-06 3.950518e+05 9.288085e+09 
1.140662e+00 1.160640e-02 1.364829e+54 1.479329e+46 5.177938e+48 2.887496e-06 3.950518e+05 9.194530e+09 
1.152268e+00 1.172449e-02 1.344250e+54 1.486824e+46 5.099902e+48 2.916878e-06 3.950518e+05 9.101917e+09 
1.163992e+00 1.184379e-02 1.323980e+54 1.494358e+46 5.023042e+48 2.946559e-06 3.950518e+05 9.010236e+09 
1.175836e+00 1.196430e-02 1.304017e+54 1.501930e+46 4.947340e+48 2.976542e-06 3.950518e+05 8.919479e+09 
1.187801e+00 1.208604e-02 1.284354e+54 1.509540e+46 4.872779e+48 3.006830e-06 3.950518e+05 8.829636e+09 
1.199887e+00 1.220902e-02 1.264988e+54 1.517188e+46 4.799342e+48 3.037427e-06 3.950518e+05 8.740698e+09 
1.212096e+00 1.233325e-02 1.245913e+54 1.524875e+46 4.727012e+48 3.068334e-06 3.950518e+05 8.652656e+09 
1.224429e+00 1.245874e-02 1.227127e+54 1.532601e+46 4.655772e+48 3.099556e-06 3.950518e+05 8.565501e+09 
1.236888e+00 1.258551e-02 1.208623e+54 1.540367e+46 4.585605e+48 3.131096e-06 3.950518e+05 8.479224e+09 
1.249473e+00 1.271357e-02 1.190398e+54 1.548171e+46 4.516496e+48 3.162957e-06 3.950518e+05 8.393816e+09 
1.262187e+00 1.284293e-02 1.172449e+54 1.556015e+46 4.448429e+48 3.195142e-06 3.950518e+05 8.309268e+09 
1.275030e+00 1.297361e-02 1.154769e+54 1.563899e+46 4.381387e+48 3.227655e-06 3.950518e+05 8.225571e+09 
1.288003e+00 1.310562e-02 1.137357e+54 1.571822e+46 4.315356e+48 3.260498e-06 3.950518e+05 8.142718e+09 
1.301109e+00 1.323897e-02 1.120207e+54 1.579786e+46 4.250320e+48 3.293676e-06 3.950518e+05 8.060699e+09 
1.314348e+00 1.337368e-02 1.103315e+54 1.587790e+46 4.186264e+48 3.327191e-06 3.950518e+05 7.979507e+09 
1.327721e+00 1.350976e-02 1.086678e+54 1.595834e+46 4.123173e+48 3.361048e-06 3.950518e+05 7.899132e+09 
1.341231e+00 1.364722e-02 1.070292e+54 1.603919e+46 4.061033e+48 3.395248e-06 3.950518e+05 7.819567e+09 
1.354878e+00 1.378608e-02 1.054153e+54 1.612045e+46 3.999830e+48 3.429797e-06 3.950518e+05 7.740803e+09 
1.368665e+00 1.392636e-02 1.038257e+54 1.620212e+46 3.939549e+48 3.464698e-06 3.950518e+05 7.662832e+09 
1.382591e+00 1.406806e-02 1.022601e+54 1.628420e+46 3.880177e+48 3.499953e-06 3.950518e+05 7.585647e+09 
1.396659e+00 1.421121e-02 1.007181e+54 1.636670e+46 3.821699e+48 3.535568e-06 3.950518e+05 7.509240e+09 
1.410870e+00 1.435581e-02 9.919939e+53 1.644962e+46 3.764103e+48 3.571545e-06 3.950518e+05 7.433602e+09 
1.425226e+00 1.450188e-02 9.770353e+53 1.653295e+46 3.707374e+48 3.607888e-06 3.950518e+05 7.358726e+09 
1.439728e+00 1.464944e-02 9.623023e+53 1.661671e+46 3.651501e+48 3.644600e-06 3.950518e+05 7.284604e+09 
1.454377e+00 1.479850e-02 9.477914e+53 1.670089e+46 3.596470e+48 3.681687e-06 3.950518e+05 7.211228e+09 
1.469176e+00 1.494907e-02 9.334993e+53 1.678550e+46 3.542268e+48 3.719151e-06 3.950518e+05 7.138592e+09 
1.484125e+00 1.510118e-02 9.194226e+53 1.687053e+46 3.488883e+48 3.756996e-06 3.950518e+05 7.066688e+09 
1.499226e+00 1.525484e-02 9.055582e+53 1.695600e+46 3.436302e+48 3.795226e-06 3.950518e+05 6.995507e+09 
1.514481e+00 1.541006e-02 8.919028e+53 1.704190e+46 3.384514e+48 3.833845e-06 3.950518e+05 6.925044e+09 
1.529891e+00 1.556686e-02 8.784533e+53 1.712823e+46 3.333507e+48 3.872857e-06 3.950518e+05 6.855290e+09 
1.545458e+00 1.572526e-02 8.652066e+53 1.721499e+46 3.283268e+48 3.912266e-06 3.950518e+05 6.786240e+09 
1.561183e+00 1.588526e-02 8.521596e+53 1.730220e+46 3.233786e+48 3.952076e-06 3.950518e+05 6.717884e+09 
1.577068e+00 1.604690e-02 8.393093e+53 1.738985e+46 3.185050e+48 3.992292e-06 3.950518e+05 6.650217e+09 
1.593115e+00 1.621018e-02 8.266527e+53 1.747794e+46 3.137049e+48 4.032916e-06 3.950518e+05 6.583232e+09 
1.609325e+00 1.637512e-02 8.141870e+53 1.756648e+46 3.089771e+48 4.073954e-06 3.950518e+05 6.516921e+09 
1.625701e+00 1.654174e-02 8.019092e+53 1.765546e+46 3.043205e+48 4.115410e-06 3.950518e+05 6.451279e+09 
1.642242e+00 1.671005e-02 7.898165e+53 1.774489e+46 2.997341e+48 4.157287e-06 3.950518e+05 6.386297e+09 
1.658952e+00 1.688008e-02 7.779062e+53 1.783478e+46 2.952169e+48 4.199591e-06 3.950518e+05 6.321970e+09 
1.675832e+00 1.705184e-02 7.661754e+53 1.792512e+46 2.907677e+48 4.242325e-06 3.950518e+05 6.258291e+09 
1.692884e+00 1.722534e-02 7.546215e+53 1.801592e+46 2.863856e+48 4.285494e-06 3.950518e+05 6.195254e+09 
1.710110e+00 1.740061e-02 7.432417e+53 1.810718e+46 2.820695e+48 4.329102e-06 3.950518e+05 6.132851e+09 
1.727510e+00 1.757766e-02 7.320336e+53 1.819889e+46 2.778185e+48 4.373155e-06 3.950518e+05 6.071077e+09 
1.745088e+00 1.775652e-02 7.209944e+53 1.829108e+46 2.736315e+48 4.417655e-06 3.950518e+05 6.009925e+09 
1.762844e+00 1.793719e-02 7.101217e+53 1.838372e+46 2.695076e+48 4.462608e-06 3.950518e+05 5.949389e+09 
1.780782e+00 1.811971e-02 6.994129e+53 1.847684e+46 2.654459e+48 4.508019e-06 3.950518e+05 5.889463e+09 
1.798901e+00 1.830408e-02 6.888656e+53 1.857043e+46 2.614454e+48 4.553892e-06 3.950518e+05 5.830140e+09 
1.817205e+00 1.849033e-02 6.784773e+53 1.866449e+46 2.575052e+48 4.600231e-06 3.950518e+05 5.771415e+09 
1.835696e+00 1.867847e-02 6.682457e+53 1.875903e+46 2.536244e+48 4.647043e-06 3.950518e+05 5.713282e+09 
1.854374e+00 1.886852e-02 6.581682e+53 1.885404e+46 2.498021e+48 4.694330e-06 3.950518e+05 5.655734e+09 
1.873243e+00 1.906051e-02 6.482428e+53 1.894953e+46 2.460373e+48 4.742099e-06 3.950518e+05 5.598766e+09 
1.892303e+00 1.925446e-02 6.384670e+53 1.904551e+46 2.423293e+48 4.790354e-06 3.950518e+05 5.542371e+09 
1.911558e+00 1.945037e-02 6.288386e+53 1.914197e+46 2.386772e+48 4.839100e-06 3.950518e+05 5.486545e+09 
1.931008e+00 1.964828e-02 6.193553e+53 1.923892e+46 2.350801e+48 4.888342e-06 3.950518e+05 5.431281e+09 
1.950656e+00 1.984821e-02 6.100150e+53 1.933636e+46 2.315373e+48 4.938086e-06 3.950518e+05 5.376574e+09 
