#t = 2771874.000000 [s], N conservation: 9.490e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 9.725753e+56 8.102070e+48 2.468934e+48 3.612240e-07 2.768367e+06 5.336588e+12 
1.010175e+00 1.027868e-02 9.253395e+54 7.866240e+46 2.431725e+48 3.648995e-07 2.768367e+06 5.282835e+12 
1.020454e+00 1.038326e-02 9.113927e+54 7.906149e+46 2.395077e+48 3.686124e-07 2.768367e+06 5.229622e+12 
1.030837e+00 1.048892e-02 8.976562e+54 7.946261e+46 2.358981e+48 3.723631e-07 2.768367e+06 5.176946e+12 
1.041326e+00 1.059564e-02 8.841266e+54 7.986576e+46 2.323429e+48 3.761519e-07 2.768367e+06 5.124801e+12 
1.051922e+00 1.070345e-02 8.708010e+54 8.027096e+46 2.288413e+48 3.799793e-07 2.768367e+06 5.073180e+12 
1.062625e+00 1.081236e-02 8.576762e+54 8.067821e+46 2.253924e+48 3.838457e-07 2.768367e+06 5.022080e+12 
1.073437e+00 1.092238e-02 8.447493e+54 8.108753e+46 2.219956e+48 3.877514e-07 2.768367e+06 4.971494e+12 
1.084360e+00 1.103352e-02 8.320171e+54 8.149893e+46 2.186499e+48 3.916968e-07 2.768367e+06 4.921418e+12 
1.095393e+00 1.114578e-02 8.194769e+54 8.191241e+46 2.153547e+48 3.956824e-07 2.768367e+06 4.871846e+12 
1.106539e+00 1.125919e-02 8.071257e+54 8.232798e+46 2.121091e+48 3.997085e-07 2.768367e+06 4.822774e+12 
1.117798e+00 1.137376e-02 7.949606e+54 8.274567e+46 2.089124e+48 4.037756e-07 2.768367e+06 4.774196e+12 
1.129172e+00 1.148949e-02 7.829789e+54 8.316547e+46 2.057639e+48 4.078841e-07 2.768367e+06 4.726107e+12 
1.140662e+00 1.160640e-02 7.711777e+54 8.358741e+46 2.026629e+48 4.120343e-07 2.768367e+06 4.678503e+12 
1.152268e+00 1.172449e-02 7.595544e+54 8.401148e+46 1.996086e+48 4.162268e-07 2.768367e+06 4.631378e+12 
1.163992e+00 1.184379e-02 7.481063e+54 8.443771e+46 1.966003e+48 4.204620e-07 2.768367e+06 4.584727e+12 
1.175836e+00 1.196430e-02 7.368308e+54 8.486609e+46 1.936374e+48 4.247403e-07 2.768367e+06 4.538547e+12 
1.187801e+00 1.208604e-02 7.257252e+54 8.529665e+46 1.907191e+48 4.290621e-07 2.768367e+06 4.492832e+12 
1.199887e+00 1.220902e-02 7.147869e+54 8.572940e+46 1.878448e+48 4.334278e-07 2.768367e+06 4.447577e+12 
1.212096e+00 1.233325e-02 7.040136e+54 8.616434e+46 1.850138e+48 4.378380e-07 2.768367e+06 4.402778e+12 
1.224429e+00 1.245874e-02 6.934026e+54 8.660148e+46 1.822255e+48 4.422931e-07 2.768367e+06 4.358431e+12 
1.236888e+00 1.258551e-02 6.829515e+54 8.704084e+46 1.794792e+48 4.467935e-07 2.768367e+06 4.314530e+12 
1.249473e+00 1.271357e-02 6.726579e+54 8.748243e+46 1.767743e+48 4.513397e-07 2.768367e+06 4.271071e+12 
1.262187e+00 1.284293e-02 6.625195e+54 8.792626e+46 1.741101e+48 4.559321e-07 2.768367e+06 4.228050e+12 
1.275030e+00 1.297361e-02 6.525339e+54 8.837234e+46 1.714861e+48 4.605713e-07 2.768367e+06 4.185462e+12 
1.288003e+00 1.310562e-02 6.426988e+54 8.882069e+46 1.689017e+48 4.652577e-07 2.768367e+06 4.143303e+12 
1.301109e+00 1.323897e-02 6.330119e+54 8.927131e+46 1.663562e+48 4.699918e-07 2.768367e+06 4.101569e+12 
1.314348e+00 1.337368e-02 6.234710e+54 8.972421e+46 1.638491e+48 4.747740e-07 2.768367e+06 4.060256e+12 
1.327721e+00 1.350976e-02 6.140739e+54 9.017941e+46 1.613797e+48 4.796049e-07 2.768367e+06 4.019358e+12 
1.341231e+00 1.364722e-02 6.048185e+54 9.063692e+46 1.589476e+48 4.844850e-07 2.768367e+06 3.978873e+12 
1.354878e+00 1.378608e-02 5.957025e+54 9.109675e+46 1.565521e+48 4.894147e-07 2.768367e+06 3.938795e+12 
1.368665e+00 1.392636e-02 5.867240e+54 9.155891e+46 1.541927e+48 4.943945e-07 2.768367e+06 3.899121e+12 
1.382591e+00 1.406806e-02 5.778807e+54 9.202342e+46 1.518689e+48 4.994251e-07 2.768367e+06 3.859846e+12 
1.396659e+00 1.421121e-02 5.691708e+54 9.249028e+46 1.495801e+48 5.045068e-07 2.768367e+06 3.820967e+12 
1.410870e+00 1.435581e-02 5.605921e+54 9.295951e+46 1.473258e+48 5.096402e-07 2.768367e+06 3.782480e+12 
1.425226e+00 1.450188e-02 5.521427e+54 9.343112e+46 1.451055e+48 5.148259e-07 2.768367e+06 3.744380e+12 
1.439728e+00 1.464944e-02 5.438207e+54 9.390512e+46 1.429186e+48 5.200643e-07 2.768367e+06 3.706665e+12 
1.454377e+00 1.479850e-02 5.356240e+54 9.438153e+46 1.407647e+48 5.253561e-07 2.768367e+06 3.669329e+12 
1.469176e+00 1.494907e-02 5.275510e+54 9.486035e+46 1.386433e+48 5.307016e-07 2.768367e+06 3.632369e+12 
1.484125e+00 1.510118e-02 5.195996e+54 9.534160e+46 1.365538e+48 5.361016e-07 2.768367e+06 3.595781e+12 
1.499226e+00 1.525484e-02 5.117680e+54 9.582529e+46 1.344958e+48 5.415565e-07 2.768367e+06 3.559562e+12 
1.514481e+00 1.541006e-02 5.040545e+54 9.631144e+46 1.324688e+48 5.470669e-07 2.768367e+06 3.523708e+12 
1.529891e+00 1.556686e-02 4.964572e+54 9.680005e+46 1.304724e+48 5.526334e-07 2.768367e+06 3.488215e+12 
1.545458e+00 1.572526e-02 4.889745e+54 9.729113e+46 1.285061e+48 5.582566e-07 2.768367e+06 3.453079e+12 
1.561183e+00 1.588526e-02 4.816045e+54 9.778471e+46 1.265694e+48 5.639369e-07 2.768367e+06 3.418298e+12 
1.577068e+00 1.604690e-02 4.743456e+54 9.828080e+46 1.246619e+48 5.696751e-07 2.768367e+06 3.383866e+12 
1.593115e+00 1.621018e-02 4.671961e+54 9.877939e+46 1.227831e+48 5.754716e-07 2.768367e+06 3.349782e+12 
1.609325e+00 1.637512e-02 4.601544e+54 9.928052e+46 1.209327e+48 5.813271e-07 2.768367e+06 3.316040e+12 
1.625701e+00 1.654174e-02 4.532188e+54 9.978419e+46 1.191101e+48 5.872422e-07 2.768367e+06 3.282639e+12 
1.642242e+00 1.671005e-02 4.463877e+54 1.002904e+47 1.173150e+48 5.932175e-07 2.768367e+06 3.249574e+12 
1.658952e+00 1.688008e-02 4.396596e+54 1.007992e+47 1.155470e+48 5.992535e-07 2.768367e+06 3.216842e+12 
1.675832e+00 1.705184e-02 4.330329e+54 1.013106e+47 1.138056e+48 6.053510e-07 2.768367e+06 3.184440e+12 
1.692884e+00 1.722534e-02 4.265060e+54 1.018245e+47 1.120904e+48 6.115106e-07 2.768367e+06 3.152365e+12 
1.710110e+00 1.740061e-02 4.200776e+54 1.023411e+47 1.104011e+48 6.177328e-07 2.768367e+06 3.120612e+12 
1.727510e+00 1.757766e-02 4.137460e+54 1.028603e+47 1.087373e+48 6.240183e-07 2.768367e+06 3.089179e+12 
1.745088e+00 1.775652e-02 4.075099e+54 1.033821e+47 1.070985e+48 6.303678e-07 2.768367e+06 3.058063e+12 
1.762844e+00 1.793719e-02 4.013677e+54 1.039066e+47 1.054845e+48 6.367819e-07 2.768367e+06 3.027260e+12 
1.780782e+00 1.811971e-02 3.953181e+54 1.044337e+47 1.038947e+48 6.432612e-07 2.768367e+06 2.996767e+12 
1.798901e+00 1.830408e-02 3.893597e+54 1.049635e+47 1.023289e+48 6.498065e-07 2.768367e+06 2.966582e+12 
1.817205e+00 1.849033e-02 3.834911e+54 1.054960e+47 1.007868e+48 6.564184e-07 2.768367e+06 2.936701e+12 
1.835696e+00 1.867847e-02 3.777110e+54 1.060312e+47 9.926781e+47 6.630976e-07 2.768367e+06 2.907120e+12 
1.854374e+00 1.886852e-02 3.720180e+54 1.065691e+47 9.777176e+47 6.698447e-07 2.768367e+06 2.877838e+12 
1.873243e+00 1.906051e-02 3.664107e+54 1.071098e+47 9.629825e+47 6.766605e-07 2.768367e+06 2.848850e+12 
1.892303e+00 1.925446e-02 3.608880e+54 1.076531e+47 9.484695e+47 6.835456e-07 2.768367e+06 2.820155e+12 
1.911558e+00 1.945037e-02 3.554485e+54 1.081993e+47 9.341753e+47 6.905008e-07 2.768367e+06 2.791749e+12 
1.931008e+00 1.964828e-02 3.500911e+54 1.087482e+47 9.200964e+47 6.975267e-07 2.768367e+06 2.763628e+12 
1.950656e+00 1.984821e-02 3.448143e+54 1.092998e+47 9.062298e+47 7.046242e-07 2.768367e+06 2.735791e+12 
1.970504e+00 2.005017e-02 3.396171e+54 1.098543e+47 8.925721e+47 7.117938e-07 2.768367e+06 2.708234e+12 
1.990555e+00 2.025418e-02 3.344982e+54 1.104116e+47 8.791203e+47 7.190364e-07 2.768367e+06 2.680955e+12 
2.010809e+00 2.046027e-02 3.294565e+54 1.109717e+47 8.658712e+47 7.263527e-07 2.768367e+06 2.653951e+12 
2.031269e+00 2.066846e-02 3.244908e+54 1.115347e+47 8.528217e+47 7.337435e-07 2.768367e+06 2.627219e+12 
2.051938e+00 2.087876e-02 3.195999e+54 1.121005e+47 8.399690e+47 7.412094e-07 2.768367e+06 2.600756e+12 
2.072816e+00 2.109120e-02 3.147827e+54 1.126692e+47 8.273099e+47 7.487514e-07 2.768367e+06 2.574559e+12 
2.093908e+00 2.130581e-02 3.100381e+54 1.132408e+47 8.148416e+47 7.563700e-07 2.768367e+06 2.548627e+12 
2.115213e+00 2.152260e-02 3.053650e+54 1.138152e+47 8.025613e+47 7.640662e-07 2.768367e+06 2.522955e+12 
2.136736e+00 2.174160e-02 3.007624e+54 1.143926e+47 7.904660e+47 7.718407e-07 2.768367e+06 2.497542e+12 
2.158478e+00 2.196282e-02 2.962292e+54 1.149729e+47 7.785530e+47 7.796943e-07 2.768367e+06 2.472385e+12 
2.180440e+00 2.218629e-02 2.917642e+54 1.155562e+47 7.668195e+47 7.876278e-07 2.768367e+06 2.447482e+12 
2.202627e+00 2.241204e-02 2.873666e+54 1.161424e+47 7.552628e+47 7.956420e-07 2.768367e+06 2.422829e+12 
2.225039e+00 2.264009e-02 2.830352e+54 1.167316e+47 7.438804e+47 8.037378e-07 2.768367e+06 2.398425e+12 
2.247679e+00 2.287045e-02 2.787691e+54 1.173238e+47 7.326695e+47 8.119160e-07 2.768367e+06 2.374266e+12 
