#t = 48452580.000000 [s], N conservation: 9.099e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 2.926673e+57 2.438074e+49 8.076111e+45 2.065964e-08 4.840355e+07 1.742379e+16 
1.010175e+00 1.027868e-02 4.702492e+54 3.997552e+46 7.954397e+45 2.086986e-08 4.840355e+07 1.724829e+16 
1.020454e+00 1.038326e-02 4.631610e+54 4.017829e+46 7.834517e+45 2.108221e-08 4.840355e+07 1.707455e+16 
1.030837e+00 1.048892e-02 4.561796e+54 4.038208e+46 7.716444e+45 2.129672e-08 4.840355e+07 1.690257e+16 
1.041326e+00 1.059564e-02 4.493035e+54 4.058691e+46 7.600151e+45 2.151342e-08 4.840355e+07 1.673231e+16 
1.051922e+00 1.070345e-02 4.425311e+54 4.079278e+46 7.485610e+45 2.173232e-08 4.840355e+07 1.656378e+16 
1.062625e+00 1.081236e-02 4.358607e+54 4.099969e+46 7.372795e+45 2.195345e-08 4.840355e+07 1.639693e+16 
1.073437e+00 1.092238e-02 4.292908e+54 4.120765e+46 7.261681e+45 2.217683e-08 4.840355e+07 1.623177e+16 
1.084360e+00 1.103352e-02 4.228200e+54 4.141666e+46 7.152241e+45 2.240249e-08 4.840355e+07 1.606828e+16 
1.095393e+00 1.114578e-02 4.164467e+54 4.162674e+46 7.044451e+45 2.263043e-08 4.840355e+07 1.590643e+16 
1.106539e+00 1.125919e-02 4.101694e+54 4.183787e+46 6.938285e+45 2.286070e-08 4.840355e+07 1.574621e+16 
1.117798e+00 1.137376e-02 4.039868e+54 4.205008e+46 6.833719e+45 2.309331e-08 4.840355e+07 1.558760e+16 
1.129172e+00 1.148949e-02 3.978974e+54 4.226337e+46 6.730729e+45 2.332829e-08 4.840355e+07 1.543059e+16 
1.140662e+00 1.160640e-02 3.918997e+54 4.247773e+46 6.629291e+45 2.356566e-08 4.840355e+07 1.527516e+16 
1.152268e+00 1.172449e-02 3.859924e+54 4.269318e+46 6.529382e+45 2.380544e-08 4.840355e+07 1.512130e+16 
1.163992e+00 1.184379e-02 3.801742e+54 4.290973e+46 6.430978e+45 2.404767e-08 4.840355e+07 1.496899e+16 
1.175836e+00 1.196430e-02 3.744437e+54 4.312737e+46 6.334058e+45 2.429236e-08 4.840355e+07 1.481821e+16 
1.187801e+00 1.208604e-02 3.687995e+54 4.334611e+46 6.238598e+45 2.453953e-08 4.840355e+07 1.466896e+16 
