#t = 53893.530000 [s], N conservation: 8.972e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 1.957451e+55 1.630661e+47 6.308005e+48 1.868515e-05 5.381281e+04 9.783569e+06 
1.010175e+00 1.027868e-02 2.201936e+53 1.871849e+45 6.212938e+48 1.887632e-05 5.381281e+04 9.685022e+06 
1.020454e+00 1.038326e-02 2.168592e+53 1.881210e+45 6.119304e+48 1.906946e-05 5.381281e+04 9.587468e+06 
1.030837e+00 1.048892e-02 2.135752e+53 1.890617e+45 6.027080e+48 1.926459e-05 5.381281e+04 9.490897e+06 
1.041326e+00 1.059564e-02 2.103408e+53 1.900070e+45 5.936247e+48 1.946173e-05 5.381281e+04 9.395299e+06 
1.051922e+00 1.070345e-02 2.071553e+53 1.909570e+45 5.846783e+48 1.966089e-05 5.381281e+04 9.300663e+06 
1.062625e+00 1.081236e-02 2.040180e+53 1.919117e+45 5.758667e+48 1.986211e-05 5.381281e+04 9.206981e+06 
1.073437e+00 1.092238e-02 2.009281e+53 1.928710e+45 5.671879e+48 2.006540e-05 5.381281e+04 9.114242e+06 
1.084360e+00 1.103352e-02 1.978849e+53 1.938350e+45 5.586398e+48 2.027077e-05 5.381281e+04 9.022437e+06 
1.095393e+00 1.114578e-02 1.948877e+53 1.948038e+45 5.502207e+48 2.047827e-05 5.381281e+04 8.931558e+06 
1.106539e+00 1.125919e-02 1.919359e+53 1.957774e+45 5.419284e+48 2.068790e-05 5.381281e+04 8.841593e+06 
1.117798e+00 1.137376e-02 1.890287e+53 1.967557e+45 5.337610e+48 2.089969e-05 5.381281e+04 8.752535e+06 
1.129172e+00 1.148949e-02 1.861654e+53 1.977388e+45 5.257168e+48 2.111366e-05 5.381281e+04 8.664374e+06 
1.140662e+00 1.160640e-02 1.833454e+53 1.987268e+45 5.177938e+48 2.132983e-05 5.381281e+04 8.577100e+06 
1.152268e+00 1.172449e-02 1.805680e+53 1.997196e+45 5.099902e+48 2.154823e-05 5.381281e+04 8.490706e+06 
1.163992e+00 1.184379e-02 1.778327e+53 2.007172e+45 5.023042e+48 2.176888e-05 5.381281e+04 8.405182e+06 
1.175836e+00 1.196430e-02 1.751387e+53 2.017198e+45 4.947340e+48 2.199181e-05 5.381281e+04 8.320520e+06 
1.187801e+00 1.208604e-02 1.724854e+53 2.027273e+45 4.872779e+48 2.221703e-05 5.381281e+04 8.236710e+06 
1.199887e+00 1.220902e-02 1.698723e+53 2.037397e+45 4.799342e+48 2.244457e-05 5.381281e+04 8.153744e+06 
1.212096e+00 1.233325e-02 1.672986e+53 2.047571e+45 4.727012e+48 2.267446e-05 5.381281e+04 8.071615e+06 
1.224429e+00 1.245874e-02 1.647639e+53 2.057794e+45 4.655772e+48 2.290672e-05 5.381281e+04 7.990312e+06 
