#t = 7341.221000 [s], N conservation: 5.584e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 2.593096e+54 2.160187e+46 6.308005e+48 2.459915e-04 7.330226e+03 9.126580e+03 
1.010175e+00 1.027868e-02 2.262014e+52 1.922921e+44 6.212938e+48 2.496207e-04 7.330226e+03 9.034651e+03 
1.020454e+00 1.038326e-02 2.223076e+52 1.928474e+44 6.119304e+48 2.533099e-04 7.330226e+03 8.943648e+03 
1.030837e+00 1.048892e-02 2.184772e+52 1.934011e+44 6.027080e+48 2.570602e-04 7.330226e+03 8.853562e+03 
1.041326e+00 1.059564e-02 2.147095e+52 1.939534e+44 5.936247e+48 2.608726e-04 7.330226e+03 8.764383e+03 
1.051922e+00 1.070345e-02 2.110033e+52 1.945041e+44 5.846783e+48 2.647482e-04 7.330226e+03 8.676102e+03 
1.062625e+00 1.081236e-02 2.073577e+52 1.950532e+44 5.758667e+48 2.686883e-04 7.330226e+03 8.588711e+03 
1.073437e+00 1.092238e-02 2.037719e+52 1.956007e+44 5.671879e+48 2.726940e-04 7.330226e+03 8.502200e+03 
1.084360e+00 1.103352e-02 2.002447e+52 1.961465e+44 5.586398e+48 2.767664e-04 7.330226e+03 8.416560e+03 
1.095393e+00 1.114578e-02 1.967754e+52 1.966907e+44 5.502207e+48 2.809068e-04 7.330226e+03 8.331783e+03 
1.106539e+00 1.125919e-02 1.933630e+52 1.972330e+44 5.419284e+48 2.851164e-04 7.330226e+03 8.247860e+03 
1.117798e+00 1.137376e-02 1.900066e+52 1.977736e+44 5.337610e+48 2.893965e-04 7.330226e+03 8.164782e+03 
1.129172e+00 1.148949e-02 1.867053e+52 1.983123e+44 5.257168e+48 2.937484e-04 7.330226e+03 8.082541e+03 
1.140662e+00 1.160640e-02 1.834583e+52 1.988491e+44 5.177938e+48 2.981733e-04 7.330226e+03 8.001128e+03 
1.152268e+00 1.172449e-02 1.802647e+52 1.993841e+44 5.099902e+48 3.026726e-04 7.330226e+03 7.920536e+03 
1.163992e+00 1.184379e-02 1.771237e+52 1.999170e+44 5.023042e+48 3.072477e-04 7.330226e+03 7.840755e+03 
1.175836e+00 1.196430e-02 1.740345e+52 2.004480e+44 4.947340e+48 3.118999e-04 7.330226e+03 7.761778e+03 
1.187801e+00 1.208604e-02 1.709961e+52 2.009769e+44 4.872779e+48 3.166306e-04 7.330226e+03 7.683596e+03 
1.199887e+00 1.220902e-02 1.680080e+52 2.015037e+44 4.799342e+48 3.214413e-04 7.330226e+03 7.606202e+03 
1.212096e+00 1.233325e-02 1.650692e+52 2.020284e+44 4.727012e+48 3.263335e-04 7.330226e+03 7.529587e+03 
1.224429e+00 1.245874e-02 1.621789e+52 2.025509e+44 4.655772e+48 3.313087e-04 7.330226e+03 7.453744e+03 
