#t = 12362640.000000 [s], N conservation: 9.259e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 2.171829e+57 1.809249e+49 1.240643e+47 8.097389e-08 1.234966e+07 3.150715e+14 
1.010175e+00 1.027868e-02 7.771131e+54 6.606179e+46 1.221946e+47 8.179781e-08 1.234966e+07 3.118979e+14 
1.020454e+00 1.038326e-02 7.654002e+54 6.639694e+46 1.203530e+47 8.263012e-08 1.234966e+07 3.087563e+14 
1.030837e+00 1.048892e-02 7.538639e+54 6.673379e+46 1.185392e+47 8.347089e-08 1.234966e+07 3.056463e+14 
1.041326e+00 1.059564e-02 7.425015e+54 6.707235e+46 1.167527e+47 8.432022e-08 1.234966e+07 3.025676e+14 
1.051922e+00 1.070345e-02 7.313103e+54 6.741262e+46 1.149931e+47 8.517819e-08 1.234966e+07 2.995199e+14 
1.062625e+00 1.081236e-02 7.202878e+54 6.775462e+46 1.132601e+47 8.604489e-08 1.234966e+07 2.965030e+14 
1.073437e+00 1.092238e-02 7.094314e+54 6.809836e+46 1.115532e+47 8.692041e-08 1.234966e+07 2.935164e+14 
1.084360e+00 1.103352e-02 6.987386e+54 6.844384e+46 1.098719e+47 8.780484e-08 1.234966e+07 2.905599e+14 
1.095393e+00 1.114578e-02 6.882070e+54 6.879107e+46 1.082161e+47 8.869826e-08 1.234966e+07 2.876332e+14 
1.106539e+00 1.125919e-02 6.778341e+54 6.914006e+46 1.065852e+47 8.960078e-08 1.234966e+07 2.847360e+14 
1.117798e+00 1.137376e-02 6.676176e+54 6.949082e+46 1.049788e+47 9.051248e-08 1.234966e+07 2.818679e+14 
1.129172e+00 1.148949e-02 6.575550e+54 6.984336e+46 1.033967e+47 9.143346e-08 1.234966e+07 2.790288e+14 
1.140662e+00 1.160640e-02 6.476442e+54 7.019769e+46 1.018384e+47 9.236381e-08 1.234966e+07 2.762182e+14 
1.152268e+00 1.172449e-02 6.378826e+54 7.055382e+46 1.003036e+47 9.330362e-08 1.234966e+07 2.734360e+14 
1.163992e+00 1.184379e-02 6.282683e+54 7.091175e+46 9.879198e+46 9.425300e-08 1.234966e+07 2.706817e+14 
1.175836e+00 1.196430e-02 6.187988e+54 7.127150e+46 9.730310e+46 9.521204e-08 1.234966e+07 2.679553e+14 
1.187801e+00 1.208604e-02 6.094720e+54 7.163307e+46 9.583666e+46 9.618084e-08 1.234966e+07 2.652562e+14 
1.199887e+00 1.220902e-02 6.002858e+54 7.199648e+46 9.439232e+46 9.715949e-08 1.234966e+07 2.625844e+14 
1.212096e+00 1.233325e-02 5.912381e+54 7.236173e+46 9.296974e+46 9.814810e-08 1.234966e+07 2.599395e+14 
1.224429e+00 1.245874e-02 5.823267e+54 7.272883e+46 9.156861e+46 9.914677e-08 1.234966e+07 2.573212e+14 
1.236888e+00 1.258551e-02 5.735496e+54 7.309779e+46 9.018859e+46 1.001556e-07 1.234966e+07 2.547293e+14 
1.249473e+00 1.271357e-02 5.649049e+54 7.346863e+46 8.882937e+46 1.011747e-07 1.234966e+07 2.521635e+14 
1.262187e+00 1.284293e-02 5.563904e+54 7.384134e+46 8.749063e+46 1.022042e-07 1.234966e+07 2.496235e+14 
1.275030e+00 1.297361e-02 5.480042e+54 7.421595e+46 8.617207e+46 1.032441e-07 1.234966e+07 2.471092e+14 
1.288003e+00 1.310562e-02 5.397445e+54 7.459245e+46 8.487339e+46 1.042946e-07 1.234966e+07 2.446201e+14 
1.301109e+00 1.323897e-02 5.316092e+54 7.497087e+46 8.359427e+46 1.053558e-07 1.234966e+07 2.421562e+14 
1.314348e+00 1.337368e-02 5.235966e+54 7.535120e+46 8.233443e+46 1.064279e-07 1.234966e+07 2.397170e+14 
