#t = 2646452000.000000 [s], N conservation: 8.916e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.609325e+00 1.637512e-02 3.652892e+53 7.881289e+45 1.325963e+42 6.087152e-10 2.643807e+09 1.714671e+21 
1.625701e+00 1.654174e-02 3.597721e+53 7.921024e+45 1.305979e+42 6.149089e-10 2.643807e+09 1.697400e+21 
1.642242e+00 1.671005e-02 3.543382e+53 7.960956e+45 1.286297e+42 6.211657e-10 2.643807e+09 1.680303e+21 
1.658952e+00 1.688008e-02 3.489864e+53 8.001088e+45 1.266911e+42 6.274862e-10 2.643807e+09 1.663378e+21 
1.675832e+00 1.705184e-02 3.437153e+53 8.041420e+45 1.247818e+42 6.338709e-10 2.643807e+09 1.646623e+21 
1.692884e+00 1.722534e-02 3.385237e+53 8.081953e+45 1.229012e+42 6.403207e-10 2.643807e+09 1.630037e+21 
1.710110e+00 1.740061e-02 3.334104e+53 8.122689e+45 1.210490e+42 6.468360e-10 2.643807e+09 1.613618e+21 
1.727510e+00 1.757766e-02 3.283743e+53 8.163628e+45 1.192247e+42 6.534177e-10 2.643807e+09 1.597365e+21 
1.745088e+00 1.775652e-02 3.234142e+53 8.204771e+45 1.174279e+42 6.600663e-10 2.643807e+09 1.581275e+21 
1.762844e+00 1.793719e-02 3.185290e+53 8.246119e+45 1.156581e+42 6.667825e-10 2.643807e+09 1.565348e+21 
1.780782e+00 1.811971e-02 3.137174e+53 8.287674e+45 1.139151e+42 6.735672e-10 2.643807e+09 1.549580e+21 
1.798901e+00 1.830408e-02 3.089784e+53 8.329436e+45 1.121983e+42 6.804208e-10 2.643807e+09 1.533972e+21 
1.817205e+00 1.849033e-02 3.043110e+53 8.371406e+45 1.105073e+42 6.873442e-10 2.643807e+09 1.518521e+21 
1.835696e+00 1.867847e-02 2.997140e+53 8.413585e+45 1.088419e+42 6.943380e-10 2.643807e+09 1.503225e+21 
1.854374e+00 1.886852e-02 2.951863e+53 8.455974e+45 1.072015e+42 7.014030e-10 2.643807e+09 1.488084e+21 
1.873243e+00 1.906051e-02 2.907269e+53 8.498575e+45 1.055859e+42 7.085399e-10 2.643807e+09 1.473095e+21 
1.892303e+00 1.925446e-02 2.863349e+53 8.541388e+45 1.039947e+42 7.157494e-10 2.643807e+09 1.458257e+21 
1.911558e+00 1.945037e-02 2.820091e+53 8.584415e+45 1.024274e+42 7.230322e-10 2.643807e+09 1.443568e+21 
1.931008e+00 1.964828e-02 2.777486e+53 8.627655e+45 1.008837e+42 7.303892e-10 2.643807e+09 1.429028e+21 
1.950656e+00 1.984821e-02 2.735524e+53 8.671111e+45 9.936329e+41 7.378210e-10 2.643807e+09 1.414634e+21 
1.970504e+00 2.005017e-02 2.694195e+53 8.714784e+45 9.786580e+41 7.453284e-10 2.643807e+09 1.400385e+21 
1.990555e+00 2.025418e-02 2.653490e+53 8.758674e+45 9.639087e+41 7.529122e-10 2.643807e+09 1.386279e+21 
2.010809e+00 2.046027e-02 2.613398e+53 8.802782e+45 9.493818e+41 7.605732e-10 2.643807e+09 1.372316e+21 
2.031269e+00 2.066846e-02 2.573912e+53 8.847110e+45 9.350738e+41 7.683122e-10 2.643807e+09 1.358493e+21 
2.051938e+00 2.087876e-02 2.535022e+53 8.891659e+45 9.209814e+41 7.761299e-10 2.643807e+09 1.344809e+21 
2.072816e+00 2.109120e-02 2.496719e+53 8.936429e+45 9.071014e+41 7.840271e-10 2.643807e+09 1.331263e+21 
2.093908e+00 2.130581e-02 2.458993e+53 8.981422e+45 8.934306e+41 7.920047e-10 2.643807e+09 1.317854e+21 
2.115213e+00 2.152260e-02 2.421837e+53 9.026639e+45 8.799658e+41 8.000634e-10 2.643807e+09 1.304580e+21 
2.136736e+00 2.174160e-02 2.385242e+53 9.072081e+45 8.667040e+41 8.082042e-10 2.643807e+09 1.291439e+21 
2.158478e+00 2.196282e-02 2.349199e+53 9.117749e+45 8.536420e+41 8.164278e-10 2.643807e+09 1.278431e+21 
2.180440e+00 2.218629e-02 2.313700e+53 9.163643e+45 8.407769e+41 8.247351e-10 2.643807e+09 1.265554e+21 
2.202627e+00 2.241204e-02 2.278736e+53 9.209766e+45 8.281057e+41 8.331269e-10 2.643807e+09 1.252806e+21 
2.225039e+00 2.264009e-02 2.244301e+53 9.256119e+45 8.156254e+41 8.416041e-10 2.643807e+09 1.240187e+21 
2.247679e+00 2.287045e-02 2.210384e+53 9.302701e+45 8.033332e+41 8.501675e-10 2.643807e+09 1.227695e+21 
2.270549e+00 2.310316e-02 2.176980e+53 9.349515e+45 7.912263e+41 8.588181e-10 2.643807e+09 1.215329e+21 
2.293652e+00 2.333824e-02 2.144080e+53 9.396561e+45 7.793018e+41 8.675567e-10 2.643807e+09 1.203087e+21 
2.316991e+00 2.357571e-02 2.111676e+53 9.443842e+45 7.675570e+41 8.763842e-10 2.643807e+09 1.190969e+21 
2.340566e+00 2.381560e-02 2.079762e+53 9.491357e+45 7.559893e+41 8.853015e-10 2.643807e+09 1.178973e+21 
2.364382e+00 2.405793e-02 2.048329e+53 9.539107e+45 7.445959e+41 8.943096e-10 2.643807e+09 1.167098e+21 
2.388440e+00 2.430272e-02 2.017370e+53 9.587095e+45 7.333742e+41 9.034093e-10 2.643807e+09 1.155342e+21 
2.412743e+00 2.455000e-02 1.986879e+53 9.635321e+45 7.223216e+41 9.126016e-10 2.643807e+09 1.143704e+21 
2.437293e+00 2.479980e-02 1.956848e+53 9.683787e+45 7.114356e+41 9.218875e-10 2.643807e+09 1.132184e+21 
2.462092e+00 2.505214e-02 1.927270e+53 9.732493e+45 7.007136e+41 9.312678e-10 2.643807e+09 1.120780e+21 
2.487145e+00 2.530705e-02 1.898139e+53 9.781440e+45 6.901533e+41 9.407436e-10 2.643807e+09 1.109491e+21 
2.512452e+00 2.556456e-02 1.869447e+53 9.830630e+45 6.797521e+41 9.503158e-10 2.643807e+09 1.098315e+21 
2.538016e+00 2.582468e-02 1.841188e+53 9.880064e+45 6.695076e+41 9.599854e-10 2.643807e+09 1.087252e+21 
2.563841e+00 2.608745e-02 1.813356e+53 9.929743e+45 6.594175e+41 9.697534e-10 2.643807e+09 1.076301e+21 
2.589928e+00 2.635289e-02 1.785944e+53 9.979668e+45 6.494795e+41 9.796208e-10 2.643807e+09 1.065460e+21 
2.616281e+00 2.662104e-02 1.758946e+53 1.002984e+46 6.396913e+41 9.895886e-10 2.643807e+09 1.054728e+21 
