#t = 699941200.000000 [s], N conservation: 8.946e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 3.586418e+57 2.987677e+49 3.869925e+43 1.430121e-09 6.992413e+08 5.112791e+19 
1.010175e+00 1.027868e-02 1.399328e+54 1.189558e+46 3.811602e+43 1.444673e-09 6.992413e+08 5.061292e+19 
1.020454e+00 1.038326e-02 1.378225e+54 1.195583e+46 3.754158e+43 1.459373e-09 6.992413e+08 5.010311e+19 
1.030837e+00 1.048892e-02 1.357440e+54 1.201638e+46 3.697579e+43 1.474222e-09 6.992413e+08 4.959844e+19 
1.041326e+00 1.059564e-02 1.336969e+54 1.207724e+46 3.641854e+43 1.489223e-09 6.992413e+08 4.909885e+19 
1.051922e+00 1.070345e-02 1.316806e+54 1.213840e+46 3.586968e+43 1.504376e-09 6.992413e+08 4.860430e+19 
1.062625e+00 1.081236e-02 1.296947e+54 1.219987e+46 3.532909e+43 1.519683e-09 6.992413e+08 4.811472e+19 
1.073437e+00 1.092238e-02 1.277388e+54 1.226165e+46 3.479665e+43 1.535146e-09 6.992413e+08 4.763008e+19 
1.084360e+00 1.103352e-02 1.258124e+54 1.232375e+46 3.427223e+43 1.550766e-09 6.992413e+08 4.715032e+19 
1.095393e+00 1.114578e-02 1.239149e+54 1.238616e+46 3.375572e+43 1.566546e-09 6.992413e+08 4.667539e+19 
1.106539e+00 1.125919e-02 1.220461e+54 1.244888e+46 3.324699e+43 1.582485e-09 6.992413e+08 4.620524e+19 
1.117798e+00 1.137376e-02 1.202055e+54 1.251192e+46 3.274593e+43 1.598587e-09 6.992413e+08 4.573984e+19 
1.129172e+00 1.148949e-02 1.183926e+54 1.257528e+46 3.225242e+43 1.614853e-09 6.992413e+08 4.527911e+19 
1.140662e+00 1.160640e-02 1.166071e+54 1.263896e+46 3.176635e+43 1.631285e-09 6.992413e+08 4.482303e+19 
1.152268e+00 1.172449e-02 1.148485e+54 1.270296e+46 3.128760e+43 1.647883e-09 6.992413e+08 4.437155e+19 
1.163992e+00 1.184379e-02 1.131164e+54 1.276729e+46 3.081607e+43 1.664651e-09 6.992413e+08 4.392461e+19 
1.175836e+00 1.196430e-02 1.114104e+54 1.283194e+46 3.035165e+43 1.681589e-09 6.992413e+08 4.348217e+19 
1.187801e+00 1.208604e-02 1.097301e+54 1.289691e+46 2.989422e+43 1.698699e-09 6.992413e+08 4.304419e+19 
1.199887e+00 1.220902e-02 1.080752e+54 1.296221e+46 2.944369e+43 1.715984e-09 6.992413e+08 4.261062e+19 
1.212096e+00 1.233325e-02 1.064452e+54 1.302785e+46 2.899995e+43 1.733444e-09 6.992413e+08 4.218142e+19 
1.224429e+00 1.245874e-02 1.048398e+54 1.309381e+46 2.856289e+43 1.751082e-09 6.992413e+08 4.175654e+19 
1.236888e+00 1.258551e-02 1.032586e+54 1.316011e+46 2.813243e+43 1.768900e-09 6.992413e+08 4.133594e+19 
1.249473e+00 1.271357e-02 1.017012e+54 1.322674e+46 2.770845e+43 1.786898e-09 6.992413e+08 4.091958e+19 
1.262187e+00 1.284293e-02 1.001674e+54 1.329371e+46 2.729086e+43 1.805080e-09 6.992413e+08 4.050741e+19 
1.275030e+00 1.297361e-02 9.865661e+53 1.336102e+46 2.687956e+43 1.823447e-09 6.992413e+08 4.009939e+19 
1.288003e+00 1.310562e-02 9.716863e+53 1.342866e+46 2.647446e+43 1.842001e-09 6.992413e+08 3.969548e+19 
1.301109e+00 1.323897e-02 9.570309e+53 1.349665e+46 2.607547e+43 1.860744e-09 6.992413e+08 3.929565e+19 
1.314348e+00 1.337368e-02 9.425965e+53 1.356498e+46 2.568249e+43 1.879677e-09 6.992413e+08 3.889983e+19 
1.327721e+00 1.350976e-02 9.283797e+53 1.363366e+46 2.529543e+43 1.898803e-09 6.992413e+08 3.850801e+19 
1.341231e+00 1.364722e-02 9.143772e+53 1.370268e+46 2.491421e+43 1.918124e-09 6.992413e+08 3.812013e+19 
1.354878e+00 1.378608e-02 9.005859e+53 1.377205e+46 2.453873e+43 1.937641e-09 6.992413e+08 3.773616e+19 
1.368665e+00 1.392636e-02 8.870025e+53 1.384177e+46 2.416891e+43 1.957357e-09 6.992413e+08 3.735606e+19 
1.382591e+00 1.406806e-02 8.736239e+53 1.391184e+46 2.380466e+43 1.977273e-09 6.992413e+08 3.697978e+19 
1.396659e+00 1.421121e-02 8.604471e+53 1.398227e+46 2.344590e+43 1.997392e-09 6.992413e+08 3.660730e+19 
1.410870e+00 1.435581e-02 8.474689e+53 1.405305e+46 2.309255e+43 2.017716e-09 6.992413e+08 3.623857e+19 
1.425226e+00 1.450188e-02 8.346864e+53 1.412419e+46 2.274453e+43 2.038246e-09 6.992413e+08 3.587355e+19 
1.439728e+00 1.464944e-02 8.220967e+53 1.419569e+46 2.240175e+43 2.058986e-09 6.992413e+08 3.551221e+19 
1.454377e+00 1.479850e-02 8.096967e+53 1.426755e+46 2.206414e+43 2.079936e-09 6.992413e+08 3.515450e+19 
1.469176e+00 1.494907e-02 7.974837e+53 1.433977e+46 2.173161e+43 2.101100e-09 6.992413e+08 3.480040e+19 
1.484125e+00 1.510118e-02 7.854549e+53 1.441235e+46 2.140410e+43 2.122479e-09 6.992413e+08 3.444987e+19 
1.499226e+00 1.525484e-02 7.736075e+53 1.448531e+46 2.108152e+43 2.144075e-09 6.992413e+08 3.410287e+19 
1.514481e+00 1.541006e-02 7.619387e+53 1.455863e+46 2.076380e+43 2.165892e-09 6.992413e+08 3.375936e+19 
1.529891e+00 1.556686e-02 7.504458e+53 1.463231e+46 2.045087e+43 2.187930e-09 6.992413e+08 3.341932e+19 
1.545458e+00 1.572526e-02 7.391262e+53 1.470638e+46 2.014266e+43 2.210192e-09 6.992413e+08 3.308270e+19 
1.561183e+00 1.588526e-02 7.279773e+53 1.478081e+46 1.983909e+43 2.232681e-09 6.992413e+08 3.274947e+19 
1.577068e+00 1.604690e-02 7.169965e+53 1.485562e+46 1.954010e+43 2.255399e-09 6.992413e+08 3.241959e+19 
1.593115e+00 1.621018e-02 7.061813e+53 1.493081e+46 1.924561e+43 2.278348e-09 6.992413e+08 3.209304e+19 
1.609325e+00 1.637512e-02 6.955292e+53 1.500638e+46 1.895557e+43 2.301531e-09 6.992413e+08 3.176978e+19 
1.625701e+00 1.654174e-02 6.850376e+53 1.508232e+46 1.866989e+43 2.324949e-09 6.992413e+08 3.144977e+19 
1.642242e+00 1.671005e-02 6.747043e+53 1.515866e+46 1.838852e+43 2.348606e-09 6.992413e+08 3.113299e+19 
1.658952e+00 1.688008e-02 6.645268e+53 1.523537e+46 1.811139e+43 2.372503e-09 6.992413e+08 3.081940e+19 
1.675832e+00 1.705184e-02 6.545027e+53 1.531247e+46 1.783843e+43 2.396644e-09 6.992413e+08 3.050897e+19 
1.692884e+00 1.722534e-02 6.446298e+53 1.538997e+46 1.756959e+43 2.421030e-09 6.992413e+08 3.020166e+19 
1.710110e+00 1.740061e-02 6.349058e+53 1.546785e+46 1.730480e+43 2.445664e-09 6.992413e+08 2.989745e+19 
1.727510e+00 1.757766e-02 6.253284e+53 1.554612e+46 1.704400e+43 2.470549e-09 6.992413e+08 2.959630e+19 
1.745088e+00 1.775652e-02 6.158954e+53 1.562479e+46 1.678714e+43 2.495688e-09 6.992413e+08 2.929819e+19 
1.762844e+00 1.793719e-02 6.066046e+53 1.570386e+46 1.653414e+43 2.521082e-09 6.992413e+08 2.900308e+19 
