#t = 184790600.000000 [s], N conservation: 9.001e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 3.354419e+57 2.794409e+49 5.552235e+44 5.416960e-09 1.846054e+08 9.461103e+17 
1.010175e+00 1.027868e-02 2.612998e+54 2.221289e+46 5.468558e+44 5.472078e-09 1.846054e+08 9.365804e+17 
1.020454e+00 1.038326e-02 2.573606e+54 2.232551e+46 5.386142e+44 5.527757e-09 1.846054e+08 9.271466e+17 
1.030837e+00 1.048892e-02 2.534807e+54 2.243870e+46 5.304968e+44 5.584003e-09 1.846054e+08 9.178077e+17 
1.041326e+00 1.059564e-02 2.496594e+54 2.255247e+46 5.225018e+44 5.640821e-09 1.846054e+08 9.085630e+17 
1.051922e+00 1.070345e-02 2.458956e+54 2.266680e+46 5.146272e+44 5.698217e-09 1.846054e+08 8.994113e+17 
1.062625e+00 1.081236e-02 2.421886e+54 2.278172e+46 5.068714e+44 5.756197e-09 1.846054e+08 8.903519e+17 
1.073437e+00 1.092238e-02 2.385374e+54 2.289722e+46 4.992324e+44 5.814767e-09 1.846054e+08 8.813837e+17 
1.084360e+00 1.103352e-02 2.349413e+54 2.301331e+46 4.917085e+44 5.873933e-09 1.846054e+08 8.725058e+17 
1.095393e+00 1.114578e-02 2.313994e+54 2.312998e+46 4.842980e+44 5.933702e-09 1.846054e+08 8.637174e+17 
1.106539e+00 1.125919e-02 2.279109e+54 2.324724e+46 4.769992e+44 5.994078e-09 1.846054e+08 8.550174e+17 
1.117798e+00 1.137376e-02 2.244750e+54 2.336510e+46 4.698104e+44 6.055068e-09 1.846054e+08 8.464051e+17 
1.129172e+00 1.148949e-02 2.210909e+54 2.348355e+46 4.627300e+44 6.116680e-09 1.846054e+08 8.378796e+17 
1.140662e+00 1.160640e-02 2.177577e+54 2.360261e+46 4.557562e+44 6.178918e-09 1.846054e+08 8.294399e+17 
1.152268e+00 1.172449e-02 2.144749e+54 2.372226e+46 4.488876e+44 6.241789e-09 1.846054e+08 8.210853e+17 
1.163992e+00 1.184379e-02 2.112415e+54 2.384253e+46 4.421225e+44 6.305300e-09 1.846054e+08 8.128148e+17 
1.175836e+00 1.196430e-02 2.080568e+54 2.396340e+46 4.354593e+44 6.369458e-09 1.846054e+08 8.046276e+17 
1.187801e+00 1.208604e-02 2.049202e+54 2.408488e+46 4.288966e+44 6.434268e-09 1.846054e+08 7.965228e+17 
1.199887e+00 1.220902e-02 2.018308e+54 2.420698e+46 4.224327e+44 6.499737e-09 1.846054e+08 7.884997e+17 
1.212096e+00 1.233325e-02 1.987880e+54 2.432970e+46 4.160663e+44 6.565873e-09 1.846054e+08 7.805574e+17 
1.224429e+00 1.245874e-02 1.957911e+54 2.445304e+46 4.097958e+44 6.632682e-09 1.846054e+08 7.726952e+17 
1.236888e+00 1.258551e-02 1.928393e+54 2.457700e+46 4.036198e+44 6.700170e-09 1.846054e+08 7.649121e+17 
1.249473e+00 1.271357e-02 1.899321e+54 2.470159e+46 3.975369e+44 6.768345e-09 1.846054e+08 7.572074e+17 
1.262187e+00 1.284293e-02 1.870686e+54 2.482681e+46 3.915457e+44 6.837214e-09 1.846054e+08 7.495803e+17 
1.275030e+00 1.297361e-02 1.842484e+54 2.495267e+46 3.856448e+44 6.906784e-09 1.846054e+08 7.420300e+17 
1.288003e+00 1.310562e-02 1.814706e+54 2.507916e+46 3.798328e+44 6.977061e-09 1.846054e+08 7.345558e+17 
1.301109e+00 1.323897e-02 1.787347e+54 2.520629e+46 3.741084e+44 7.048054e-09 1.846054e+08 7.271569e+17 
1.314348e+00 1.337368e-02 1.760401e+54 2.533407e+46 3.684702e+44 7.119769e-09 1.846054e+08 7.198325e+17 
1.327721e+00 1.350976e-02 1.733861e+54 2.546249e+46 3.629171e+44 7.192214e-09 1.846054e+08 7.125819e+17 
1.341231e+00 1.364722e-02 1.707720e+54 2.559157e+46 3.574476e+44 7.265396e-09 1.846054e+08 7.054043e+17 
1.354878e+00 1.378608e-02 1.681974e+54 2.572129e+46 3.520605e+44 7.339322e-09 1.846054e+08 6.982990e+17 
1.368665e+00 1.392636e-02 1.656616e+54 2.585168e+46 3.467547e+44 7.414001e-09 1.846054e+08 6.912653e+17 
1.382591e+00 1.406806e-02 1.631640e+54 2.598272e+46 3.415288e+44 7.489439e-09 1.846054e+08 6.843024e+17 
1.396659e+00 1.421121e-02 1.607041e+54 2.611443e+46 3.363816e+44 7.565645e-09 1.846054e+08 6.774096e+17 
1.410870e+00 1.435581e-02 1.582813e+54 2.624680e+46 3.313121e+44 7.642627e-09 1.846054e+08 6.705863e+17 
1.425226e+00 1.450188e-02 1.558949e+54 2.637985e+46 3.263189e+44 7.720392e-09 1.846054e+08 6.638317e+17 
1.439728e+00 1.464944e-02 1.535446e+54 2.651356e+46 3.214010e+44 7.798948e-09 1.846054e+08 6.571452e+17 
1.454377e+00 1.479850e-02 1.512297e+54 2.664796e+46 3.165572e+44 7.878303e-09 1.846054e+08 6.505260e+17 
1.469176e+00 1.494907e-02 1.489496e+54 2.678303e+46 3.117864e+44 7.958466e-09 1.846054e+08 6.439735e+17 
1.484125e+00 1.510118e-02 1.467040e+54 2.691879e+46 3.070875e+44 8.039445e-09 1.846054e+08 6.374870e+17 
1.499226e+00 1.525484e-02 1.444922e+54 2.705524e+46 3.024595e+44 8.121247e-09 1.846054e+08 6.310658e+17 
1.514481e+00 1.541006e-02 1.423137e+54 2.719237e+46 2.979011e+44 8.203882e-09 1.846054e+08 6.247093e+17 
1.529891e+00 1.556686e-02 1.401681e+54 2.733020e+46 2.934115e+44 8.287358e-09 1.846054e+08 6.184168e+17 
1.545458e+00 1.572526e-02 1.380548e+54 2.746873e+46 2.889895e+44 8.371683e-09 1.846054e+08 6.121877e+17 
1.561183e+00 1.588526e-02 1.359734e+54 2.760796e+46 2.846342e+44 8.456866e-09 1.846054e+08 6.060213e+17 
1.577068e+00 1.604690e-02 1.339233e+54 2.774789e+46 2.803445e+44 8.542916e-09 1.846054e+08 5.999171e+17 
1.593115e+00 1.621018e-02 1.319042e+54 2.788854e+46 2.761195e+44 8.629841e-09 1.846054e+08 5.938743e+17 
1.609325e+00 1.637512e-02 1.299155e+54 2.802989e+46 2.719581e+44 8.717651e-09 1.846054e+08 5.878924e+17 
1.625701e+00 1.654174e-02 1.279567e+54 2.817196e+46 2.678595e+44 8.806354e-09 1.846054e+08 5.819708e+17 
1.642242e+00 1.671005e-02 1.260275e+54 2.831475e+46 2.638226e+44 8.895960e-09 1.846054e+08 5.761088e+17 
1.658952e+00 1.688008e-02 1.241274e+54 2.845826e+46 2.598466e+44 8.986478e-09 1.846054e+08 5.703059e+17 
1.675832e+00 1.705184e-02 1.222560e+54 2.860250e+46 2.559305e+44 9.077916e-09 1.846054e+08 5.645614e+17 
1.692884e+00 1.722534e-02 1.204127e+54 2.874746e+46 2.520734e+44 9.170286e-09 1.846054e+08 5.588748e+17 
1.710110e+00 1.740061e-02 1.185972e+54 2.889316e+46 2.482744e+44 9.263595e-09 1.846054e+08 5.532454e+17 
1.727510e+00 1.757766e-02 1.168091e+54 2.903960e+46 2.445327e+44 9.357853e-09 1.846054e+08 5.476728e+17 
1.745088e+00 1.775652e-02 1.150479e+54 2.918678e+46 2.408474e+44 9.453070e-09 1.846054e+08 5.421562e+17 
1.762844e+00 1.793719e-02 1.133133e+54 2.933471e+46 2.372176e+44 9.549257e-09 1.846054e+08 5.366953e+17 
1.780782e+00 1.811971e-02 1.116049e+54 2.948338e+46 2.336425e+44 9.646422e-09 1.846054e+08 5.312893e+17 
1.798901e+00 1.830408e-02 1.099222e+54 2.963280e+46 2.301213e+44 9.744576e-09 1.846054e+08 5.259378e+17 
1.817205e+00 1.849033e-02 1.082648e+54 2.978298e+46 2.266532e+44 9.843728e-09 1.846054e+08 5.206403e+17 
1.835696e+00 1.867847e-02 1.066325e+54 2.993392e+46 2.232373e+44 9.943889e-09 1.846054e+08 5.153960e+17 
1.854374e+00 1.886852e-02 1.050247e+54 3.008563e+46 2.198730e+44 1.004507e-08 1.846054e+08 5.102046e+17 
1.873243e+00 1.906051e-02 1.034412e+54 3.023810e+46 2.165593e+44 1.014728e-08 1.846054e+08 5.050655e+17 
1.892303e+00 1.925446e-02 1.018816e+54 3.039135e+46 2.132955e+44 1.025053e-08 1.846054e+08 4.999782e+17 
1.911558e+00 1.945037e-02 1.003455e+54 3.054536e+46 2.100810e+44 1.035483e-08 1.846054e+08 4.949421e+17 
1.931008e+00 1.964828e-02 9.883250e+53 3.070016e+46 2.069149e+44 1.046019e-08 1.846054e+08 4.899567e+17 
1.950656e+00 1.984821e-02 9.734234e+53 3.085574e+46 2.037965e+44 1.056663e-08 1.846054e+08 4.850215e+17 
1.970504e+00 2.005017e-02 9.587464e+53 3.101211e+46 2.007251e+44 1.067414e-08 1.846054e+08 4.801361e+17 
1.990555e+00 2.025418e-02 9.442907e+53 3.116927e+46 1.977000e+44 1.078275e-08 1.846054e+08 4.752998e+17 
2.010809e+00 2.046027e-02 9.300529e+53 3.132723e+46 1.947205e+44 1.089247e-08 1.846054e+08 4.705123e+17 
2.031269e+00 2.066846e-02 9.160297e+53 3.148598e+46 1.917859e+44 1.100330e-08 1.846054e+08 4.657730e+17 
2.051938e+00 2.087876e-02 9.022179e+53 3.164554e+46 1.888955e+44 1.111526e-08 1.846054e+08 4.610814e+17 
2.072816e+00 2.109120e-02 8.886144e+53 3.180590e+46 1.860487e+44 1.122836e-08 1.846054e+08 4.564371e+17 
2.093908e+00 2.130581e-02 8.752159e+53 3.196708e+46 1.832448e+44 1.134261e-08 1.846054e+08 4.518396e+17 
2.115213e+00 2.152260e-02 8.620194e+53 3.212907e+46 1.804831e+44 1.145803e-08 1.846054e+08 4.472883e+17 
2.136736e+00 2.174160e-02 8.490218e+53 3.229188e+46 1.777631e+44 1.157461e-08 1.846054e+08 4.427830e+17 
2.158478e+00 2.196282e-02 8.362202e+53 3.245551e+46 1.750840e+44 1.169239e-08 1.846054e+08 4.383230e+17 
2.180440e+00 2.218629e-02 8.236116e+53 3.261997e+46 1.724454e+44 1.181136e-08 1.846054e+08 4.339079e+17 
2.202627e+00 2.241204e-02 8.111930e+53 3.278527e+46 1.698465e+44 1.193154e-08 1.846054e+08 4.295373e+17 
2.225039e+00 2.264009e-02 7.989617e+53 3.295140e+46 1.672867e+44 1.205294e-08 1.846054e+08 4.252107e+17 
2.247679e+00 2.287045e-02 7.869147e+53 3.311837e+46 1.647656e+44 1.217559e-08 1.846054e+08 4.209277e+17 
2.270549e+00 2.310316e-02 7.750494e+53 3.328618e+46 1.622824e+44 1.229947e-08 1.846054e+08 4.166878e+17 
2.293652e+00 2.333824e-02 7.633629e+53 3.345484e+46 1.598367e+44 1.242462e-08 1.846054e+08 4.124907e+17 
2.316991e+00 2.357571e-02 7.518526e+53 3.362436e+46 1.574278e+44 1.255104e-08 1.846054e+08 4.083358e+17 
2.340566e+00 2.381560e-02 7.405159e+53 3.379473e+46 1.550552e+44 1.267875e-08 1.846054e+08 4.042228e+17 
2.364382e+00 2.405793e-02 7.293500e+53 3.396597e+46 1.527184e+44 1.280776e-08 1.846054e+08 4.001512e+17 
2.388440e+00 2.430272e-02 7.183525e+53 3.413807e+46 1.504168e+44 1.293808e-08 1.846054e+08 3.961206e+17 
2.412743e+00 2.455000e-02 7.075207e+53 3.431104e+46 1.481499e+44 1.306973e-08 1.846054e+08 3.921306e+17 
2.437293e+00 2.479980e-02 6.968523e+53 3.448489e+46 1.459172e+44 1.320272e-08 1.846054e+08 3.881808e+17 
2.462092e+00 2.505214e-02 6.863447e+53 3.465961e+46 1.437181e+44 1.333706e-08 1.846054e+08 3.842708e+17 
2.487145e+00 2.530705e-02 6.759955e+53 3.483522e+46 1.415521e+44 1.347276e-08 1.846054e+08 3.804002e+17 
2.512452e+00 2.556456e-02 6.658023e+53 3.501172e+46 1.394188e+44 1.360985e-08 1.846054e+08 3.765685e+17 
2.538016e+00 2.582468e-02 6.557627e+53 3.518911e+46 1.373176e+44 1.374833e-08 1.846054e+08 3.727755e+17 
2.563841e+00 2.608745e-02 6.458746e+53 3.536739e+46 1.352481e+44 1.388822e-08 1.846054e+08 3.690207e+17 
2.589928e+00 2.635289e-02 6.361355e+53 3.554658e+46 1.332098e+44 1.402954e-08 1.846054e+08 3.653036e+17 
2.616281e+00 2.662104e-02 6.265432e+53 3.572668e+46 1.312022e+44 1.417229e-08 1.846054e+08 3.616241e+17 
2.642902e+00 2.689191e-02 6.170955e+53 3.590768e+46 1.292249e+44 1.431649e-08 1.846054e+08 3.579816e+17 
2.669794e+00 2.716554e-02 6.077903e+53 3.608960e+46 1.272774e+44 1.446217e-08 1.846054e+08 3.543757e+17 
2.696960e+00 2.744195e-02 5.986254e+53 3.627244e+46 1.253592e+44 1.460932e-08 1.846054e+08 3.508062e+17 
2.724402e+00 2.772118e-02 5.895986e+53 3.645620e+46 1.234699e+44 1.475797e-08 1.846054e+08 3.472727e+17 
